"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Arkansas","OF",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.67,0.67,0.67
"Arkansas","SF",7.36,7.36,7.36,7.36,7.36,7.33,7.33,7.33,7.33,7.33,7.29,7.29,7.29,7.29,7.29,7.26,7.26,7.26,7.26,7.26,7.21,7.21,7.21,7.21,7.21,7.16,7.16,7.16,7.16,7.16,7.53,7.53,7.53
"Arkansas","WF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arkansas","Total Forest Land Converted to Land",25.7,25.7,25.7,25.7,25.7,26.15,26.15,26.15,26.15,26.15,26.68,26.68,26.68,26.68,26.68,27.34,27.34,27.34,27.34,27.34,28.19,28.19,28.19,28.19,28.19,29.73,29.73,29.73,29.73,29.73,29.53,29.53,29.53
"Arkansas","FC",13.2,13.2,13.2,13.2,13.2,13.15,13.15,13.15,13.15,13.15,13.09,13.09,13.09,13.09,13.09,13.02,13.02,13.02,13.02,13.02,12.94,12.94,12.94,12.94,12.94,12.85,12.85,12.85,12.85,12.85,12.76,12.76,12.76
"Arkansas","FG",1.82,1.82,1.82,1.82,1.82,1.85,1.85,1.85,1.85,1.85,1.9,1.9,1.9,1.9,1.9,1.97,1.97,1.97,1.97,1.97,2.09,2.09,2.09,2.09,2.09,2.75,2.75,2.75,2.75,2.75,2.73,2.73,2.73
"Arkansas","FO",0.92,0.92,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,1,1,1,1,1,1.07,1.07,1.07,1.07,1.07,1.2,1.2,1.2,1.2,1.2,1.54,1.54,1.54,1.54,1.54,1.53,1.53,1.53
"Arkansas","FS",9.59,9.59,9.59,9.59,9.59,9.97,9.97,9.97,9.97,9.97,10.39,10.39,10.39,10.39,10.39,10.85,10.85,10.85,10.85,10.85,11.36,11.36,11.36,11.36,11.36,11.94,11.94,11.94,11.94,11.94,11.86,11.86,11.86
"Arkansas","FW",0.17,0.17,0.17,0.17,0.17,0.22,0.22,0.22,0.22,0.22,0.31,0.31,0.31,0.31,0.31,0.44,0.44,0.44,0.44,0.44,0.6,0.6,0.6,0.6,0.6,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
"California","Total Forest Land",12986.32,12963.96,12941.6,12919.24,12896.88,12874.52,12850.93,12827.34,12803.75,12780.16,12756.58,12732.99,12709.4,12685.81,12662.22,12638.63,12612.83,12587.03,12561.23,12535.43,12509.63,12483.83,12458.03,12432.23,12406.43,12380.63,12354.01,12327.39,12300.77,12274.15,12247.53,12220.91,12194.28
"California","FF",12950.44,12928.08,12905.72,12883.36,12861,12838.64,12815.7,12792.11,12768.53,12744.94,12721.35,12697.76,12674.17,12650.58,12626.99,12603.4,12578.32,12552.52,12526.72,12500.92,12475.12,12449.32,12423.52,12397.72,12371.92,12346.12,12321.56,12294.93,12268.31,12241.69,12215.07,12188.45,12161.83
"California","Total Land Converted to Forest Land",35.88,35.88,35.88,35.88,35.88,35.88,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,35.23,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,34.51,32.46,32.46,32.46,32.46,32.46,32.46,32.46
