"State","Gas","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Idaho","CH4",0.91,2.26,7.66,,37.01,0.07,7.71,0.12,4.62,2.37,89.56,3.18,1.87,17.9,0.93,20.8,27.95,113.13,5.02,1.79,1.36,9.2,75.29,28.99,4.8,46.18,15.26,29.67,12.42,1.81,15.67,30.01
"Idaho","N2O",0.05,0.13,0.49,,2.03,0,0.43,0.01,0.25,0.14,4.97,0.18,0.1,1,0.05,1.13,1.54,6.21,0.28,0.11,0.08,0.48,4.03,1.67,0.28,2.49,0.87,1.6,0.69,0.11,0.88,1.65
"Idaho","CO",18.82,46.67,161.38,,760.92,1.44,159.22,2.42,94.29,49.72,1849.13,65.7,38.38,370.1,19.3,425.59,575.37,2326.7,104.15,38.1,28.23,187.08,1538.56,601.35,100.25,946.9,315.88,606.57,255.28,38.06,320.98,619.55
"Idaho","NOx",0.29,0.64,3.02,,10.43,0.03,2.28,0.06,1.27,0.77,25.51,0.93,0.53,5.08,0.28,5.85,7.88,31.88,1.45,0.59,0.42,2.34,20.48,9.03,1.52,12.64,4.7,8.24,3.78,0.62,4.95,8.33
"Illinois","CH4",,,,,,,,,,,0.04,0.02,0.16,0.05,0.17,0.06,0.04,0.12,0.15,0.12,0.05,0.29,0.01,0.19,0.14,0.22,0.12,0.08,0.08,0.31,0.12,0.19
"Illinois","N2O",,,,,,,,,,,0,0,0.01,0,0.02,0.01,0,0.01,0.01,0.01,0.01,0.03,0,0.02,0.01,0.02,0.01,0.01,0.01,0.03,0.01,0.02
"Illinois","CO",,,,,,,,,,,1.14,0.61,4.63,1.35,5.11,1.71,1.06,3.36,4.38,3.58,1.6,8.59,0.3,5.54,4.14,6.47,3.45,2.24,2.35,9.34,3.71,5.42
"Illinois","NOx",,,,,,,,,,,0.03,0.02,0.12,0.03,0.13,0.04,0.03,0.09,0.11,0.09,0.04,0.23,0.01,0.14,0.12,0.17,0.09,0.06,0.06,0.25,0.1,0.14
"Indiana","CH4",,,,,,0.13,,,0.31,0.25,0.19,0.06,0.18,0.21,0.29,0.24,0.12,0.24,0.16,0.06,0.32,0.08,0.1,0.04,0.03,0.03,0.08,0.05,0.09,0.11,0.03,0.05
"Indiana","N2O",,,,,,0.01,,,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.01,0,0,0,0.01,0.01,0.01,0.01,0,0.01
"Indiana","CO",,,,,,3.86,,,9.22,7.4,5.81,1.72,5.47,6.42,8.66,7.18,3.67,7.19,4.75,1.67,9.37,2.47,3.07,1.14,1.04,0.79,2.47,1.57,2.63,3.19,0.84,1.57
"Indiana","NOx",,,,,,0.1,,,0.24,0.19,0.15,0.04,0.14,0.17,0.22,0.18,0.09,0.19,0.12,0.04,0.25,0.06,0.08,0.03,0.03,0.02,0.06,0.04,0.07,0.08,0.02,0.04
"Iowa","CH4",,,,,,,,,,0.01,0.01,0,0.01,0.01,0.02,0.01,0.01,0,0,0.02,0.03,0.02,0.12,0.07,0.03,0.04,0.02,0.01,0.17,0,0.04,0.02
"Iowa","N2O",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.02,0,0,0
"Iowa","CO",,,,,,,,,,0.26,0.31,0,0.2,0.22,0.51,0.15,0.31,0.08,0.05,0.5,0.76,0.51,3.58,1.89,0.83,1.18,0.67,0.34,4.64,0.12,1.17,0.59
"Iowa","NOx",,,,,,,,,,0.01,0.01,0,0.01,0.01,0.02,0.01,0.01,0.01,0,0.02,0.02,0.02,0.1,0.05,0.03,0.03,0.02,0.01,0.15,0,0.04,0.02
"Kansas","CH4",0.01,0.23,0,0.09,0.15,0.03,0.27,0.01,0.14,0,0.05,0.07,0.17,0.41,0.23,0.4,1,0.26,0.9,1.86,0.36,1.03,0.3,0.27,3.1,1.35,2.35,1.69,0.86,0.71,1.15,1.17
"Kansas","N2O",0,0.02,0,0.01,0.02,0,0.03,0,0.01,0,0.01,0.01,0.02,0.05,0.02,0.04,0.11,0.03,0.09,0.19,0.04,0.11,0.03,0.03,0.31,0.14,0.24,0.18,0.09,0.07,0.12,0.12
